_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-48.55,1000,0.04984932307801992,-0.27993181972397624,0.679354066310615,0.011756279089978386,-0.018647192635573448,-2.0511116981506348,2.123730421066284,0.38176520152607296,0.0,-2.1560539456964576,3.3986547629757013,0.9999724943302499,-0.11391706450313015,-0.2216874429313581,-0.0050000000000000044,0.0040568708223072975,20,-0.014026882,3.6668687,0.008226433,1.5,1.0,0.0017599643368356437,0.5670660015805499,-1.224964763576148
-49.25,1000,0.014501144912185272,-0.4260972704188702,0.42328719461331665,0.009865861823943143,-0.025729075590730646,-2.165271520614624,2.136378049850464,0.39205545040620604,1.4210854715202004e-16,-1.9942297935433995,3.2353704174076476,0.9999493149407483,-0.11638906126174009,-0.2216874429313581,-0.0050000000000000044,0.003927016984918002,40,-0.013168898,3.6826081,0.0088991225,2.25,1.0,0.0007758009881834247,0.8192351587519977,0.42210854641418816
-48.55,1000,0.010132611881999312,-0.4717991381029511,0.5493617708138743,0.011403576840088666,-0.034981920889462344,-2.184343099594116,2.363614320755005,0.38819350470149894,2.1316282072803006e-17,-2.227976458399904,3.089947366804642,0.9999067889571555,-0.1161012430503693,-0.2216874429313581,-0.0050000000000000044,0.0038909975093487526,60,-0.00830673,3.6910782,0.0040552397,2.25,1.0,0.0001259031464583215,0.9676947022885881,0.8347650411673596
-49.45,1000,0.01535835641899249,-0.596492116136197,0.5638227915174052,0.013857518963454472,-0.001889746309374459,-2.2955334186553955,1.9979327917099,0.3797075247348445,4.263256414560601e-17,-2.9979460185454903,3.905977530219392,0.9998210018258183,-0.11603017581551278,-0.2216874429313581,-0.0050000000000000044,0.004015138992401383,80,-0.008055535,3.6834242,0.0035773562,2.25,1.0,0.00010697457414459341,0.9742099302875592,0.9538693503445429
-48.45,1000,-0.0009823470602365078,-0.788693926760345,0.7257885170117306,0.016257011350984993,-0.008524151537334547,-2.0912532806396484,2.3567636013031006,0.38997257674087993,1.4210854715202004e-17,-2.6932531475964865,5.1297658357056095,0.9998404985271773,-0.11383864036909279,-0.2216874429313581,0.0,0.00400140103340973,100,-0.0072708256,3.6807446,0.00340574,2.25,1.0,0.0001974466659094809,0.9506556366605303,0.9356906329568474
-49.25,1000,0.0037482492410568402,-0.6366662176255754,0.8302909166295803,0.01392917644397405,-0.017349564458651004,-2.6584315299987793,2.094752311706543,0.38706319322704774,1.4210854715202004e-17,-2.9440360906731655,5.981010105490135,0.9996473892509589,-0.11669183293569482,-0.2216874429313581,-0.0050000000000000044,0.003981688655671177,120,-0.009657273,3.6861134,0.0051394785,2.25,1.0,6.421272577842879e-05,0.9874398187351779,0.9895648397190369
-48.35,1000,0.01441007758787193,-0.5043206709420279,0.5916426214600159,0.011627303939380312,0.02447017281758599,-2.371685266494751,2.238981246948242,0.37803382556858733,0.0,-3.037581738521809,4.694633287425455,0.9997402972321079,-0.1156480313549337,-0.2216874429313581,0.0,0.0038389519809444114,140,-0.010863309,3.6920855,0.0054953946,2.25,1.0,7.018335806873058e-05,0.9822913384530582,0.9794180006325088
-49.3,1000,0.025091396929578107,-0.3781583138342814,0.5346453009267721,0.011656122167872844,0.03221631279267603,-1.9843167066574097,2.2536606788635254,0.3857696158371348,-2.842170943040401e-17,-3.1690065829036653,4.195567091963678,0.9996792256434703,-0.11619009122684236,-0.2216874429313581,-0.0050000000000000044,0.003956847767927396,160,-0.006383569,3.712134,0.0031099138,2.25,1.0,3.7513405015081983e-05,0.9905201799308724,0.9866166603755697
-48.25,1000,0.013381135803642377,-0.46959354757757565,0.5668978399998323,0.01321921226430116,-0.0038631077392492445,-2.0739083290100098,2.3067924976348877,0.40944782149583825,0.0,-1.7318289148945756,5.832898122016602,0.9998009481400627,-0.11375120811380923,-0.2216874429313581,-0.0050000000000000044,0.00387068314796905,180,-0.007337046,3.728181,0.0032776291,2.25,1.0,0.0001459599081136495,0.9625810042822744,0.9552779119751624
-48.5,1000,0.0073935907216151515,-0.49479779368653415,0.5306676624308139,0.014175162152541967,0.010439336793730035,-2.309908151626587,2.120426893234253,0.3916715472165772,3.552713678800501e-17,-1.9201113844927336,4.556467238714294,0.9996833934387596,-0.1153897925006423,-0.2216874429313581,0.0,0.003957945264672077,200,-0.0071042203,3.7261815,0.0034025467,2.25,1.0,5.2223497133898864e-05,0.9871955935749008,0.9844973187854092
-48.65,1000,0.014539246836333567,-0.5824123742272257,0.6649948316394986,0.015564996160354613,0.02021966744051315,-2.3479366302490234,2.504770517349243,0.4056126767403304,-7.105427357601002e-18,-1.9754441300821837,4.958621984035622,0.9997460935829338,-0.11445098573101666,-0.2216874429313581,0.0,0.0038840802953868437,220,-0.005270297,3.7088666,0.0018596117,2.25,1.0,0.00010442517521380347,0.9733949342649596,0.9740433954348143
-47.8,1000,0.009211311160366529,-0.6242738212017335,0.47908643479828067,0.013755004738102036,-0.00013496646680869162,-2.0707554817199707,2.2329742908477783,0.3923119656596705,-1.4210854715202004e-17,-1.257452245248477,5.393930869108667,0.9998131107693128,-0.11342637007469994,-0.2216874429313581,-0.0050000000000000044,0.003766254324811668,240,-0.008504201,3.6910923,0.0038511439,2.25,1.0,0.00021904701789325713,0.9438061313667745,0.9532304064499193
-48.25,1000,-0.00021408245415513333,-0.6943892500350267,0.5507585793744058,0.019223077371695922,0.004308272988069802,-2.0190515518188477,2.197611093521118,0.40725705636428605,1.4210854715202004e-17,-1.8121503965997074,4.221520038696187,0.9998334110411327,-0.11252155192345553,-0.2216874429313581,0.0,0.003976465984342867,260,-0.009477166,3.6899016,0.0036483086,2.25,1.0,0.00016416135735094155,0.9604825360642456,0.9372106774932539
-47.35,1000,0.012240086021422396,-0.555279330722949,0.5567300176782699,0.012595946190964269,0.03710523709724657,-2.145982027053833,3.0061774253845215,0.38881999659622196,2.842170943040401e-17,-1.3527268253966291,5.723162581729402,0.9998436387287429,-0.11117196801164982,-0.2216874429313581,0.0,0.0039003550074134577,280,-0.007924676,3.6922512,0.0024798494,2.25,1.0,0.0002695641181681115,0.9337851459385037,0.9252965621745465
-46.8,1000,0.017115868642389585,-0.45850842327597335,0.4707650043197525,0.011566147492272874,0.02680034309840994,-2.137956380844116,2.5235679149627686,0.3827183021579526,7.105427357601002e-18,-1.2549561042008794,5.94840826615192,0.9997927356148563,-0.11137877473561857,-0.2216874429313581,0.0,0.003727181447691687,300,-0.0074669532,3.6848218,0.0034641114,2.25,1.0,0.00014926453467365791,0.9611550657362059,0.9605038095314518
